ID,Age,Gender,Marital_Status,Job_Role,Experience_Years,Monthly_Salary_INR,Working_Hours_per_Week,Commute_Time_Hours,Remote_Work,Stress_Level,Health_Issues,Company_Size,Department,Sleep_Hours,Physical_Activity_Hours_per_Week,Mental_Health_Leave_Taken,Manager_Support_Level,Work_Pressure_Level,Annual_Leaves_Taken,Work_Life_Balance,Family_Support_Level,Job_Satisfaction,Performance_Rating,Team_Size,Training_Opportunities,Gender_Bias_Experienced,Discrimination_Experienced,Burnout_Symptoms,Location
32,45,Female,Single,Manager,10,158762.76,51,2.6,False,1,Both,Small,Finance,7.2,4.5,True,8,3,1,1,2,5,6,70,False,True,False,Occasional,Metro
33,33,Female,Divorced,Developer,4,78689.46,45,0.55,True,9,Mental,Small,Finance,7.1,6.9,False,3,2,6,1,0,3,7,42,True,False,False,Occasional,Metro
34,32,Female,Widowed,Analyst,15,110521.58,50,0.21,True,1,Physical,Small,IT,8.3,5.0,False,8,0,3,9,8,5,5,64,False,True,False,Yes,Metro
35,64,Female,Single,Analyst,11,63568.74,83,2.95,False,4,Physical,Medium,Finance,5.0,6.0,True,1,4,4,0,5,4,7,13,True,False,False,No,Tier-1
36,61,Non-Binary,Married,Analyst,36,186416.05,85,2.63,False,4,Physical,Small,Marketing,8.2,4.7,False,4,0,9,0,5,0,6,21,True,False,False,Occasional,Metro
37,20,Female,Divorced,Sales,33,184038.88,85,2.27,False,4,Physical,Large,HR,8.2,8.3,True,7,1,14,6,2,3,10,25,True,True,True,No,Tier-3
38,54,Male,Single,HR,21,112296.4,44,1.66,True,9,Physical,Small,Finance,7.7,6.5,False,0,7,2,9,6,9,6,21,False,True,False,No,Tier-2
39,24,Female,Single,Support,14,179923.27,63,2.16,False,3,Physical,Small,Marketing,6.5,7.2,True,9,5,24,1,1,0,4,26,True,False,False,No,Tier-3
40,38,Male,Married,Sales,31,120039.95,89,0.19,True,10,,Small,Admin,4.8,5.2,False,1,3,28,9,2,5,0,6,True,False,True,Yes,Tier-3
41,26,Female,Single,Developer,32,68123.28,43,1.59,True,4,Both,Large,Sales,6.5,7.5,True,5,9,25,1,7,10,6,24,True,False,False,Yes,Tier-3
42,56,Non-Binary,Single,Support,34,92087.39,46,2.44,False,0,Both,Medium,Marketing,4.9,4.4,False,9,0,6,0,7,1,9,1,True,True,False,Yes,Tier-1
43,35,Male,Widowed,Developer,3,138039.35,59,2.3,False,1,Both,Large,Sales,7.2,7.7,True,1,8,2,9,9,8,6,60,False,False,False,No,Tier-1
44,21,Male,Single,Developer,15,183203.79,90,1.43,False,5,Both,Large,HR,8.4,8.5,True,3,8,11,1,7,6,4,25,False,False,True,Yes,Tier-3
45,42,Female,Divorced,Manager,9,24521.93,73,0.53,True,1,Mental,Medium,HR,5.9,8.6,False,10,0,2,5,1,3,8,32,True,False,True,No,Metro
46,31,Non-Binary,Widowed,Manager,32,50728.33,43,1.22,True,1,Mental,Medium,Admin,6.9,9.6,False,6,8,15,7,3,8,2,42,True,True,False,Occasional,Tier-3
47,26,Non-Binary,Widowed,HR,11,180196.68,79,2.86,False,7,Both,Small,Marketing,5.0,1.0,False,0,3,26,3,10,10,9,6,True,False,True,Yes,Tier-1
48,43,Male,Divorced,Sales,14,56680.85,38,2.48,True,5,Physical,Medium,Finance,7.8,0.5,True,8,1,12,3,1,7,8,45,False,True,False,Yes,Tier-1
49,19,Female,Widowed,Analyst,30,194064.71,74,1.4,False,0,,Large,IT,8.6,2.5,True,9,0,24,1,2,3,0,22,False,False,False,Occasional,Tier-1
50,37,Non-Binary,Married,Support,34,52350.58,41,0.9,False,4,,Medium,Marketing,6.5,7.0,True,7,7,6,8,4,4,9,76,False,False,False,No,Metro
51,45,Non-Binary,Married,Sales,22,187554.37,71,2.09,False,4,Both,Medium,IT,5.2,6.2,False,1,7,28,4,1,5,10,71,True,False,False,Yes,Tier-3
52,64,Non-Binary,Divorced,Developer,31,79235.73,72,0.82,False,6,Both,Small,Admin,5.9,0.2,False,3,6,20,1,10,7,4,39,False,False,True,Yes,Tier-3
53,24,Female,Single,HR,24,195534.18,77,1.29,False,6,Physical,Large,HR,5.0,10.0,False,3,5,12,6,2,2,8,56,True,False,False,Yes,Tier-1
54,61,Female,Widowed,Manager,4,187021.32,67,0.66,False,4,Mental,Small,Marketing,5.5,5.0,False,8,9,12,7,1,1,3,15,False,False,False,Yes,Tier-1
55,25,Male,Divorced,Support,40,161690.38,83,1.54,False,5,,Medium,Sales,4.7,7.4,False,2,10,13,2,4,4,5,22,True,True,False,No,Tier-3
56,64,Female,Widowed,HR,13,154292.11,37,1.73,True,4,Physical,Medium,Admin,7.2,5.9,True,10,6,1,0,3,8,3,90,True,True,True,Occasional,Metro
57,52,Non-Binary,Married,Analyst,30,151697.64,37,0.66,True,2,Mental,Large,Finance,4.3,3.1,True,3,0,26,9,0,4,8,11,True,True,False,Yes,Tier-3
58,31,Male,Married,HR,13,139824.72,84,2.46,True,0,Both,Large,IT,8.3,8.0,True,10,10,3,1,0,4,4,62,True,False,False,Occasional,Tier-3
59,34,Female,Divorced,HR,13,108133.43,49,1.69,False,10,Both,Small,HR,4.6,7.7,False,1,4,30,5,8,9,8,73,True,True,True,Occasional,Tier-1
60,53,Non-Binary,Widowed,HR,5,195445.65,74,2.69,True,0,,Large,Sales,7.9,6.6,False,0,3,26,4,9,0,2,51,False,False,True,Occasional,Tier-3
61,57,Non-Binary,Married,Developer,24,66771.13,87,1.18,True,1,Both,Medium,Sales,6.4,6.5,True,6,5,4,0,5,4,0,24,False,True,False,No,Tier-3
62,21,Male,Widowed,Analyst,27,167364.95,59,1.97,False,10,Physical,Small,Marketing,4.3,7.6,True,2,2,10,2,1,10,9,75,True,False,True,Yes,Metro
63,19,Male,Married,Manager,16,44360.88,40,2.58,False,10,Mental,Large,Marketing,8.7,0.6,False,2,3,13,9,3,10,8,92,True,True,True,Yes,Tier-3
64,23,Female,Married,Sales,3,121761.02,61,1.4,True,7,Physical,Small,Sales,5.7,0.3,False,5,9,23,5,8,3,9,98,True,False,False,Yes,Tier-1
65,59,Female,Married,Manager,27,86111.0,42,1.93,True,2,Physical,Medium,Marketing,4.3,7.3,False,7,3,20,9,7,5,5,61,True,True,False,No,Metro
66,21,Male,Married,HR,6,95979.87,87,2.16,False,5,Physical,Large,Finance,4.4,8.1,True,2,4,5,5,8,9,0,1,False,True,False,Occasional,Tier-2
67,46,Male,Single,HR,5,119986.68,49,1.81,True,8,Both,Medium,Sales,7.0,9.7,True,4,7,11,4,9,3,2,100,True,False,True,No,Tier-1
68,35,Non-Binary,Divorced,Sales,36,20978.38,70,1.09,True,1,Physical,Medium,IT,6.9,1.1,True,0,5,5,4,8,8,10,78,False,True,True,Yes,Tier-1
69,43,Female,Widowed,Analyst,28,60717.11,84,2.84,True,10,,Large,Finance,6.6,2.3,True,2,8,13,7,9,4,0,41,True,False,True,No,Tier-3
70,61,Non-Binary,Married,HR,27,143883.26,67,1.97,True,0,Both,Large,Marketing,4.2,8.7,False,2,3,21,6,4,6,10,16,False,True,True,No,Metro
71,51,Male,Married,Developer,18,169063.79,66,0.48,True,0,,Large,Admin,4.7,7.6,False,5,10,21,0,9,5,4,54,True,True,False,Occasional,Tier-1
72,27,Male,Married,Support,13,52609.62,44,0.73,True,9,Both,Small,Finance,6.1,8.0,True,8,1,20,3,9,7,7,86,True,True,False,Yes,Metro
73,53,Male,Divorced,Developer,12,104996.74,39,0.98,True,9,Both,Large,Finance,6.9,3.8,False,5,6,28,2,7,3,6,98,False,True,True,Yes,Tier-2
74,31,Female,Widowed,Manager,28,55002.11,54,2.8,True,2,Physical,Small,Marketing,8.7,8.7,False,8,4,30,2,4,0,1,19,True,True,True,Occasional,Metro
75,48,Male,Divorced,Developer,34,118425.87,58,1.25,True,10,Physical,Large,Finance,8.1,6.0,False,2,9,24,6,6,0,8,43,False,False,True,No,Tier-3
76,65,Male,Divorced,Manager,40,127783.75,82,1.31,False,8,Mental,Medium,Finance,8.8,8.1,True,4,5,2,6,3,6,5,40,False,True,False,Yes,Tier-2
77,32,Female,Married,HR,1,44802.36,35,1.91,False,9,,Small,Sales,7.4,7.0,False,1,1,15,9,1,4,9,67,False,True,False,No,Tier-3
78,25,Male,Widowed,Developer,1,147633.19,52,1.06,True,4,,Medium,HR,6.5,2.4,False,6,3,25,2,3,6,4,39,True,False,False,Yes,Metro
79,31,Female,Married,Developer,25,194855.26,84,1.66,True,1,,Large,HR,7.4,7.7,True,9,0,16,3,4,1,2,93,True,False,True,Occasional,Tier-2
80,40,Male,Divorced,Sales,0,178426.13,85,0.53,True,4,,Large,Finance,5.5,0.9,False,6,3,1,9,9,0,4,100,True,True,False,Yes,Metro
81,57,Female,Single,Manager,27,167462.7,59,1.92,True,1,Physical,Medium,Sales,6.5,9.3,False,1,10,22,9,9,7,5,80,False,False,True,Yes,Tier-3
82,38,Female,Single,Sales,36,164239.76,51,1.61,True,4,Physical,Medium,Finance,5.8,6.3,False,10,7,11,10,6,1,4,12,False,False,False,No,Tier-3
83,33,Female,Divorced,Analyst,33,112750.08,84,1.35,True,10,Both,Medium,HR,5.1,8.3,False,1,3,3,5,10,8,7,88,False,True,False,Occasional,Tier-2
84,62,Female,Married,Support,23,179080.12,72,1.56,False,8,Both,Medium,Admin,4.4,7.6,False,8,4,22,8,0,6,7,37,False,True,False,Occasional,Tier-3
85,35,Non-Binary,Married,Sales,28,148303.48,68,0.48,True,0,Physical,Small,Sales,5.9,8.0,False,0,3,17,7,0,1,2,19,False,False,False,No,Metro
86,64,Female,Widowed,Developer,27,59129.27,41,1.36,True,2,,Large,Finance,4.1,3.0,True,4,5,6,9,8,3,3,41,True,False,True,Yes,Tier-1
87,41,Female,Widowed,Developer,33,47560.11,81,1.93,True,9,Physical,Small,Admin,7.4,8.8,False,9,10,27,1,9,4,1,31,True,False,False,No,Metro
88,43,Female,Single,Analyst,32,86844.01,77,0.33,False,1,Physical,Medium,Marketing,8.1,1.1,True,5,0,13,3,9,8,10,29,False,True,True,Yes,Metro
89,42,Female,Married,Manager,37,38912.44,36,0.24,False,9,Both,Large,IT,8.9,7.0,True,6,6,20,10,4,4,6,50,True,False,True,No,Metro
90,62,Male,Divorced,Manager,33,39679.75,87,0.66,True,2,,Small,Sales,5.9,7.0,True,0,2,12,9,7,4,9,10,True,False,False,Yes,Metro
91,58,Male,Married,Support,4,108879.78,80,2.61,False,8,,Medium,HR,8.4,8.7,True,10,6,3,4,3,10,3,78,True,True,True,Occasional,Metro
92,46,Female,Married,Manager,29,102378.25,76,0.47,False,8,Physical,Small,Finance,4.3,4.8,False,10,9,26,0,5,9,8,34,True,False,False,No,Tier-2
93,32,Female,Divorced,Analyst,21,174554.37,63,2.82,True,3,,Large,Marketing,7.7,0.9,True,7,5,6,4,2,4,2,59,True,True,False,No,Tier-2
94,62,Non-Binary,Single,HR,2,62490.97,54,0.38,False,1,Mental,Medium,Sales,7.3,3.1,True,6,5,8,4,9,10,4,49,False,True,True,Occasional,Metro
95,18,Female,Divorced,HR,28,194414.08,50,2.38,False,0,Physical,Small,Finance,8.8,1.7,False,7,0,15,10,2,0,1,61,False,True,True,Occasional,Tier-3
96,42,Female,Married,Analyst,30,48237.0,76,0.67,True,7,,Medium,Admin,6.5,3.5,True,10,5,4,3,8,9,0,61,True,True,False,Occasional,Metro
97,24,Female,Divorced,Sales,29,164019.86,73,1.87,True,6,Physical,Small,Marketing,6.8,7.1,False,2,4,15,6,1,8,1,82,True,True,False,Yes,Tier-3
98,26,Male,Widowed,Analyst,28,162413.97,40,0.17,False,5,Physical,Medium,HR,7.0,5.6,False,6,3,11,6,4,7,2,54,True,False,True,Occasional,Tier-2
99,41,Female,Widowed,HR,30,95261.49,49,2.97,True,2,Both,Small,Marketing,7.7,1.0,True,2,10,0,5,7,10,4,36,False,True,True,Yes,Tier-3
100,18,Female,Widowed,Support,23,183055.26,37,1.11,False,5,Physical,Large,HR,5.7,0.2,False,8,10,4,9,10,9,7,54,False,True,True,Occasional,Metro
101,61,Non-Binary,Widowed,Support,40,28431.25,86,1.27,False,0,Both,Small,Admin,7.4,6.5,True,6,10,30,4,4,4,9,90,False,False,False,No,Tier-3
102,25,Male,Divorced,HR,22,113334.08,45,0.94,True,10,Both,Medium,Finance,8.0,5.2,True,4,4,29,8,1,1,6,72,False,True,True,Yes,Tier-1
103,41,Non-Binary,Single,Sales,37,49272.62,79,0.98,True,9,Both,Large,Admin,8.6,4.9,False,10,1,21,6,3,7,6,11,False,True,True,No,Tier-1
104,28,Female,Single,Developer,33,72498.46,83,2.49,False,9,Mental,Large,Marketing,8.9,6.6,False,5,6,8,2,7,1,7,42,True,True,False,Occasional,Tier-3
105,34,Non-Binary,Widowed,Developer,23,25339.18,44,2.24,False,10,,Small,HR,6.8,3.8,True,4,7,18,3,3,2,3,54,True,True,False,No,Tier-3
106,25,Female,Married,Developer,24,118945.61,42,0.45,True,9,Both,Small,HR,5.0,6.8,False,1,5,27,5,0,8,5,43,False,False,True,Occasional,Tier-2
107,52,Female,Divorced,Manager,1,88323.54,60,2.91,True,5,Physical,Medium,HR,4.8,5.5,True,6,0,1,4,3,1,1,76,False,True,False,Occasional,Tier-3
108,52,Male,Married,HR,5,33097.02,73,0.62,True,1,Physical,Medium,Admin,8.1,4.5,True,9,4,5,6,9,5,1,37,True,True,True,Occasional,Tier-1
109,50,Non-Binary,Widowed,Analyst,40,140415.75,49,2.07,False,10,Mental,Medium,Sales,4.8,4.8,False,4,6,19,1,5,10,6,54,True,False,False,Yes,Tier-1
110,22,Female,Divorced,Sales,31,196811.02,89,2.96,True,0,Physical,Medium,HR,5.8,0.7,True,3,5,21,9,5,6,4,53,False,True,True,Yes,Tier-1
111,59,Non-Binary,Widowed,HR,12,43293.5,36,2.81,False,8,Mental,Large,Marketing,6.9,7.1,False,2,6,9,5,9,10,1,54,False,True,True,No,Tier-2
112,56,Male,Divorced,Developer,15,86454.99,75,2.9,True,8,,Small,Admin,8.1,7.5,True,4,0,14,4,10,9,7,83,False,True,True,Occasional,Tier-3
113,58,Female,Widowed,Sales,25,98415.61,88,2.16,False,7,Physical,Small,Sales,7.6,1.0,True,9,5,16,7,3,6,8,67,False,False,True,No,Tier-3
114,45,Male,Single,Analyst,9,104133.46,35,0.36,True,9,Mental,Medium,Marketing,5.3,4.2,False,2,2,10,10,2,7,9,88,False,True,True,No,Tier-1
115,24,Non-Binary,Divorced,HR,3,38789.63,82,0.08,True,4,Physical,Large,Marketing,7.2,8.2,True,3,0,20,1,8,0,4,16,False,False,True,Yes,Tier-3
116,26,Non-Binary,Single,Analyst,13,69250.44,89,0.99,False,0,Mental,Medium,Admin,8.7,4.7,False,2,1,29,4,9,6,9,34,True,False,True,Occasional,Metro
117,25,Non-Binary,Widowed,HR,23,96072.35,60,0.7,True,5,Physical,Medium,Finance,4.1,2.4,True,9,10,12,5,8,7,6,30,True,True,True,Yes,Tier-3
118,29,Female,Divorced,HR,37,97257.82,38,1.71,True,1,Physical,Small,HR,5.1,3.5,True,4,9,28,2,10,3,8,1,False,False,True,Occasional,Metro
119,51,Female,Married,Developer,36,89597.11,75,2.11,False,5,,Small,HR,5.0,5.6,True,9,4,12,2,5,4,6,12,True,False,True,No,Tier-3
120,50,Female,Married,Sales,38,174602.29,48,1.36,False,9,Mental,Small,Sales,8.0,2.9,False,9,0,7,6,8,1,3,59,True,False,False,No,Metro
121,65,Male,Divorced,Support,22,99221.7,84,1.36,True,4,,Small,Marketing,5.1,0.9,True,2,3,24,2,7,10,0,33,False,False,False,Yes,Tier-2
122,40,Non-Binary,Single,Support,10,126261.68,71,1.64,True,5,,Medium,Finance,7.1,7.4,True,6,1,3,8,4,6,9,24,True,False,True,No,Tier-1
123,41,Non-Binary,Widowed,Support,7,159958.66,75,1.76,True,7,Physical,Large,Admin,7.6,1.7,False,3,8,3,10,8,4,8,99,True,False,False,No,Tier-1
124,54,Non-Binary,Single,Developer,5,24829.34,81,2.09,True,10,Mental,Small,Finance,8.0,1.5,True,0,7,1,5,3,1,3,82,True,True,True,Yes,Tier-2
125,52,Male,Single,HR,33,194413.74,67,0.85,True,8,Both,Small,Sales,7.8,5.0,False,7,0,23,8,0,0,9,93,True,False,True,Occasional,Metro
126,61,Female,Divorced,Developer,36,130179.29,53,2.21,True,0,Both,Large,Finance,6.4,7.0,True,3,2,25,2,5,10,5,29,True,True,True,No,Tier-1
127,57,Male,Married,HR,32,160497.21,41,2.65,False,2,Both,Large,Sales,4.1,3.9,True,6,3,7,9,2,7,3,22,True,False,True,Yes,Tier-1
128,39,Non-Binary,Widowed,Support,9,91276.98,82,1.29,True,0,,Small,Finance,4.0,8.8,False,6,0,27,4,2,0,5,82,True,False,False,Yes,Metro
129,44,Non-Binary,Single,Support,35,166937.94,84,2.85,False,4,Both,Medium,Finance,5.4,1.4,True,7,8,28,0,10,9,5,96,True,False,False,Yes,Metro
130,52,Male,Married,Developer,6,109066.48,53,1.8,False,7,Both,Small,HR,7.6,3.7,False,9,2,28,2,10,2,3,79,True,False,False,Occasional,Tier-1
131,18,Female,Single,HR,16,30757.15,67,2.82,False,4,,Medium,Finance,8.8,8.7,True,4,1,29,0,3,4,9,69,True,False,False,No,Tier-1
132,52,Female,Divorced,Support,19,67262.43,88,1.7,False,6,Mental,Medium,IT,8.4,4.0,True,2,10,6,9,1,6,7,5,True,False,True,Occasional,Tier-2
133,54,Non-Binary,Divorced,Manager,27,22260.72,42,2.47,False,3,Physical,Small,Marketing,7.1,1.1,False,4,10,29,8,4,10,10,44,True,False,True,No,Tier-1
134,64,Male,Single,Manager,23,187696.69,84,1.05,False,0,Physical,Medium,HR,8.5,2.4,False,3,9,8,1,7,0,1,23,False,True,False,Occasional,Tier-2
135,31,Female,Married,Support,37,169315.98,75,0.53,True,5,Physical,Large,Marketing,8.6,2.3,False,7,4,25,2,4,8,6,77,False,False,False,No,Tier-2
136,20,Male,Single,Analyst,8,197599.63,39,1.94,False,4,Physical,Large,Finance,8.1,2.1,True,2,2,3,1,0,4,4,95,True,False,True,Yes,Tier-1
137,18,Non-Binary,Widowed,HR,29,75642.73,51,1.19,False,6,Mental,Medium,Marketing,6.4,2.4,False,6,3,11,9,2,4,6,18,False,False,False,Yes,Tier-2
138,22,Non-Binary,Single,Developer,38,41022.52,80,1.19,False,10,,Small,Marketing,9.0,8.0,True,7,4,18,4,9,4,5,87,True,True,True,Yes,Tier-2
139,43,Non-Binary,Widowed,HR,35,182181.78,82,1.07,True,1,,Large,Admin,8.8,1.1,True,0,3,16,7,9,3,2,35,True,True,False,Yes,Tier-1
140,31,Non-Binary,Single,Developer,16,102617.26,51,1.38,True,10,Both,Medium,IT,6.2,4.4,False,8,2,19,1,0,8,5,14,True,False,False,Yes,Tier-2
141,56,Female,Widowed,Analyst,15,26003.53,38,0.03,True,5,,Small,HR,4.7,3.6,True,6,6,13,7,3,10,8,93,True,True,False,Yes,Tier-3
142,44,Non-Binary,Married,Support,33,26441.98,49,1.18,True,8,,Medium,Finance,7.4,2.3,False,7,10,27,6,1,10,8,37,False,True,True,Yes,Metro
143,26,Female,Single,Support,6,30795.96,81,0.05,False,1,Physical,Medium,IT,7.7,3.3,True,7,6,20,9,4,7,10,51,True,True,False,No,Tier-3
144,32,Female,Single,Support,26,177287.81,82,1.17,False,0,Both,Medium,Admin,4.6,6.0,False,10,9,0,5,10,2,10,11,False,False,True,Occasional,Tier-3
145,32,Male,Widowed,HR,6,20212.37,42,0.87,False,5,,Small,Marketing,4.0,1.3,False,8,7,30,8,3,10,10,97,False,False,False,Occasional,Metro
146,43,Non-Binary,Divorced,Analyst,31,175849.79,72,0.88,True,5,Both,Medium,Admin,7.4,3.1,False,3,1,24,7,9,3,4,88,True,False,False,Yes,Tier-3
147,59,Female,Married,Developer,15,38475.47,56,0.99,True,5,Physical,Small,Finance,5.4,5.3,False,10,7,6,5,2,2,3,61,False,True,True,Yes,Metro
148,30,Male,Divorced,Sales,18,159015.86,35,0.7,True,4,,Medium,Marketing,9.0,9.6,True,2,5,10,1,1,4,9,39,True,False,False,Yes,Tier-3
149,49,Male,Divorced,Support,25,124839.79,62,2.64,True,5,,Large,Marketing,7.3,0.9,True,0,1,24,10,6,1,0,50,False,False,True,Yes,Tier-1
150,56,Non-Binary,Single,Developer,0,176194.1,71,1.74,True,5,Both,Large,Admin,4.1,4.0,False,0,4,4,1,2,3,4,29,True,True,False,No,Tier-2
151,49,Non-Binary,Single,Analyst,29,150774.33,61,2.88,True,2,,Medium,IT,4.8,5.9,True,2,4,4,8,10,7,0,78,False,False,False,Occasional,Tier-3
152,21,Male,Single,HR,14,151474.24,35,1.42,False,4,Both,Small,Admin,5.9,4.9,False,7,4,18,6,2,0,0,93,False,False,False,Occasional,Tier-1
153,47,Female,Divorced,HR,2,25381.02,39,2.95,True,7,Physical,Small,Sales,8.3,10.0,False,6,10,15,0,9,10,10,19,True,False,True,Occasional,Tier-1
154,54,Non-Binary,Married,Analyst,19,177304.53,56,0.08,True,5,,Small,Sales,5.9,5.0,False,0,3,9,2,3,0,0,84,True,False,True,No,Tier-2
155,40,Male,Widowed,HR,18,72923.79,84,1.79,True,4,,Medium,IT,8.9,8.9,False,9,1,0,8,2,5,6,62,False,False,True,No,Tier-1
156,56,Male,Widowed,Manager,26,194622.23,35,2.44,False,2,Physical,Medium,Sales,5.5,3.5,True,2,4,6,5,4,4,2,85,True,True,True,Yes,Metro
157,62,Female,Widowed,Support,0,57601.31,66,1.68,True,4,Both,Small,HR,4.0,7.2,True,6,10,18,7,2,6,1,12,True,True,True,No,Metro
158,32,Female,Married,Sales,12,82967.69,88,0.21,True,4,,Large,Sales,6.9,6.8,True,1,3,28,7,2,0,8,11,True,False,True,Occasional,Metro
159,60,Male,Divorced,Analyst,32,59141.13,40,0.59,False,3,Physical,Large,Marketing,7.9,8.8,True,5,1,26,1,0,4,5,46,True,True,True,Yes,Tier-3
